location,location_code,station_code,lon_dd,lat_dd,description
WADDEN,BLAUWSOT,BLAUWSOT,5.27791,53.22456,Blauwe Slenk Oost
CALLOG,CALLOG,CALLOG4,4.64301,52.86837,Callantsoog 4 km uit de kust
CALLOG,CALLOG,CALLOG10,4.56303,52.89614,Callantsoog 10 km uit de kust
CALLOG,CALLOG,CALLOG30,4.27057,52.92559,Callantsoog 30 km uit de kust
CALLOG,CALLOG,CALLOG50,3.98312,52.95892,Callantsoog 50 km uit de kust
CALLOG,CALLOG,CALLOG70,3.68038,52.99058,Callantsoog 70 km uit de kust
WADDEN,DANTZGT,DANTZGT,5.72698,53.40113,Dantziggat
WADDEN,DOOVB,DOOVBWT,5.03226,53.0529,Doove Balg West
EGMAZE,EGMAZE,EGMAZE4,4.56803,52.62562,Egmond aan Zee 4 km uit de kust
EGMAZE,EGMAZE,EGMAZE10,4.47303,52.63562,Egmond aan Zee 10 km uit de kust
EGMAZE,EGMAZE,EGMAZE20,4.33004,52.64168,Egmond aan Zee 20 km uit de kust
EGMAZE,EGMAZE,EGMAZE30,4.17974,52.66729,Egmond aan Zee 30 km uit de kust
EGMAZE,EGMAZE,EGMAZE50,3.88646,52.69561,Egmond aan Zee 50 km uit de kust
EGMAZE,EGMAZE,EGMAZE70,3.59317,52.72811,Egmond aan Zee 70 km uit de kust
WADDEN,EILDBG,EILDBG,6.33525,53.4747,Eilanderbalg
GOERE,GOERE,GOERE6,3.87361,51.86972,Goeree 6 km uit de kust
GOERE,GOERE,GOERE10,3.83025,51.89568,Goeree 10 km uit de kust
GOERE,GOERE,GOERE20,3.72167,51.95417,Goeree 20 km uit de kust
GOERE,GOERE,GOERE30,3.61363,52.01511,Goeree 30 km uit de kust
GOERE,GOERE,GOERE50,3.3982,52.13583,Goeree 50 km uit de kust
GOERE,GOERE,GOERE70,3.18251,52.25222,Goeree 70 km uit de kust
WADDEN,HOLWDBG,HOLWDBG,5.95986,53.44608,Holwerderbalg
IJMDN,IJMDN,IJMDN3,4.50533,52.48713,Ijmuiden 3 km uit de kust
WADDEN,MALZN,MALZN,4.90095,52.99313,Malzwin
NOORDWK,NOORDWK,NOORDWK4,4.3825,52.26889,Noordwijk 4 km uit de kust
NOORDWK,NOORDWK,NOORDWK10,4.3025,52.30222,Noordwijk 10 km uit de kust
NOORDWK,NOORDWK,NOORDWK20,4.175,52.34167,Noordwijk 20 km uit de kust
NOORDWK,NOORDWK,NOORDWK30,4.04806,52.3875,Noordwijk 30 km uit de kust
NOORDWK,NOORDWK,NOORDWK50,3.78667,52.48083,Noordwijk 50 km uit de kust
NOORDWK,NOORDWK,NOORDWK70,3.53139,52.58611,Noordwijk 70 km uit de kust
ROTTMPT,ROTTMPT,ROTTMPT20,6.47012,53.70955,Rottumerplaat 20 km uit de kust
ROTTMPT,ROTTMPT,ROTTMPT30,6.41736,53.79287,Rottumerplaat 30 km uit de kust
ROTTMPT,ROTTMPT,ROTTMPT50,6.31,53.95389,Rottumerplaat 50 km uit de kust
ROTTMPT,ROTTMPT,ROTTMPT70,6.21417,54.11806,Rottumerplaat 70 km uit de kust
ROTTMPT,ROTTMPT,ROTTMPT100,6.03697,54.36958,Rottumerplaat 100 km uit de kust
SCHOUWN,SCHOUWN,SCHOUWN1,3.59446,51.66655,Schouwen 1 km uit de kust
SCHOUWN,SCHOUWN,SCHOUWN4,3.56279,51.68322,Schouwen 4 km uit de kust
SCHOUWN,SCHOUWN,SCHOUWN10,3.49528,51.72,Schouwen 10 km uit de kust
SCHOUWN,SCHOUWN,SCHOUWN20,3.38694,51.77945,Schouwen 20 km uit de kust
SCHOUWN,SCHOUWN,SCHOUWN30,3.27451,51.83986,Schouwen 30 km uit de kust
SCHOUWN,SCHOUWN,SCHOUWN50,3.05816,51.95485,Schouwen 50 km uit de kust
SCHOUWN,SCHOUWN,SCHOUWN70,2.82911,52.07347,Schouwen 70 km uit de kust
TERHDE,TERHDE,TERHDE70,3.38986,52.43398,Ter Heide 70 km uit de kust
TERSLG,TERSLG,TERSLG10,5.10083,53.46111,Terschelling 10 km uit de kust
TERSLG,TERSLG,TERSLG30,4.94096,53.61346,Terschelling 30 km uit de kust
TERSLG,TERSLG,TERSLG50,4.76694,53.7675,Terschelling 50 km uit de kust
TERSLG,TERSLG,TERSLG70,4.60935,53.92176,Terschelling 70 km uit de kust
TERSLG,TERSLG,TERSLG100,4.34194,54.14944,Terschelling 100 uit de kust
TERSLG,TERSLG,TERSLG135,4.04111,54.41555,Terschelling 135 km uit de kust
TERSLG,TERSLG,TERSLG175,3.69167,54.71917,Terschelling 175 km uit de kust
WADDEN,VLIES,VLIESZD,5.17201,53.26215,Vliestroom Zuid
WALCRN,WALCRN,WALCRN4,3.39309,51.56157,Walcheren 4 km uit de kust
WALCRN,WALCRN,WALCRN10,3.32783,51.59712,Walcheren 10 km uit de kust
WALCRN,WALCRN,WALCRN20,3.22056,51.65861,Walcheren 20 km uit de kust
WALCRN,WALCRN,WALCRN30,3.11361,51.71833,Walcheren 30 km uit de kust
WALCRN,WALCRN,WALCRN50,2.89667,51.84,Walcheren 50 km uit de kust
WALCRN,WALCRN,WALCRN70,2.67917,51.95694,Walcheren 70 km uit de kust
WADDEN,WESTMP,WESTMP,5.22901,53.2883,West Meep
WADDEN,ZOUTKPLZGT,ZOUTKPLZGT,6.07923,53.4751,Zoutkamperlaag zeegat
WADDEN,ZUIDOLWNOT,ZUIDOLWNOT,6.45218,53.48316,Zuid Oost Lauwers noordoost
